event_type,timestamp,user_id,post_id,story_id,reel_id,ad_id,content_type,category,sub_category,author_id,engagement_time,session_duration,like_duration,view_duration,view_percentage,source,placement,destination,campaign_id,impression_id,creative_type,reason_category,share_type,platform,recipient_count,collection_id,sound_on,position,completion_type,comment_id,comment_type,reply_to_comment_id,text_length,mentioned_users
reel_view,2025-02-08T08:10:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,reel_143,,video,Outdoor,Swimming,creator_40,9,,,16,96,profile,,,,,,,,,,,true,,watched_full,,,,,
like_post,2025-02-08T08:10:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,post_326,,,,carousel,Food,Healthy,creator_77,2,,,,,profile,,,,,,,,,,,,,,,,,,
bookmark_post,2025-02-08T08:11:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,post_722,,,,photo,Lifestyle,Travel,creator_89,3,,,,,search,,,,,,,,,,collection_lifestyle,,,,,,,,
story_view,2025-02-08T08:11:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,story_833,,,video,Food,Cooking,creator_70,7,,,11,95,explore,,,,,,,,,,,true,,,,,,,
bookmark_post,2025-02-08T08:12:00Z,550e8400-e29b-41d4-a716-446655440000,post_362,,,,carousel,Lifestyle,Fashion,creator_46,6,,,,,feed,,,,,,,,,,collection_lifestyle,,,,,,,,
profile_view,2025-02-08T08:12:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,,,photo,Food,Healthy,creator_16,10,213,,,,profile,,,,,,,,,,,,,,,,,,
reel_view,2025-02-08T08:13:00Z,550e8400-e29b-41d4-a716-446655440000,,,reel_991,,photo,Lifestyle,Travel,creator_31,7,,,11,55,feed,,,,,,,,,,,false,,watched_full,,,,,
bookmark_post,2025-02-08T08:16:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,post_280,,,,video,Outdoor,Cycling,creator_22,3,,,,,explore,,,,,,,,,,collection_outdoor,,,,,,,,
profile_view,2025-02-08T08:17:00Z,550e8400-e29b-41d4-a716-446655440000,,,,,photo,Beauty,Fragrance,creator_55,5,220,,,,explore,,,,,,,,,,,,,,,,,,
bookmark_post,2025-02-08T08:17:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,post_303,,,,carousel,Beauty,Fragrance,creator_19,8,,,,,profile,,,,,,,,,,collection_beauty,,,,,,,,
profile_view,2025-02-08T08:17:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,,,photo,Outdoor,Camping,creator_45,7,224,,,,profile,,,,,,,,,,,,,,,,,,
like_post,2025-02-08T08:18:00Z,550e8400-e29b-41d4-a716-446655440000,post_97,,,,video,Beauty,Makeup,creator_15,7,,,,,profile,,,,,,,,,,,,,,,,,,
unlike_post,2025-02-08T08:18:00Z,550e8400-e29b-41d4-a716-446655440000,post_109,,,,photo,Adventure,Climbing,creator_34,6,,755,,,search,,,,,,,,,,,,,,,,,,
ad_click,2025-02-08T08:19:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,ad_935,carousel,Lifestyle,Travel,creator_74,3,,,,,explore,explore,external_link,camp_10,imp_935,influencer_collab,,,,,,,,,,,,,
unlike_post,2025-02-08T08:20:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,post_310,,,,carousel,Movie,Comedy,creator_42,2,,5878,,,search,,,,,,,,,,,,,,,,,,
bookmark_post,2025-02-08T08:20:00Z,550e8400-e29b-41d4-a716-446655440000,post_464,,,,video,Lifestyle,Wellness,creator_78,10,,,,,search,,,,,,,,,,collection_lifestyle,,,,,,,,
ad_click,2025-02-08T08:20:00Z,550e8400-e29b-41d4-a716-446655440000,,,,ad_557,photo,Beauty,Makeup,creator_56,2,,,,,feed,explore,external_link,camp_8,imp_557,limited_time_offer,,,,,,,,,,,,,
unlike_post,2025-02-08T08:20:00Z,550e8400-e29b-41d4-a716-446655440000,post_761,,,,video,Food,Restaurant,creator_84,9,,2668,,,search,,,,,,,,,,,,,,,,,,
profile_view,2025-02-08T08:20:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,,,carousel,Food,Desserts,creator_45,7,95,,,,feed,,,,,,,,,,,,,,,,,,
story_view,2025-02-08T08:21:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,story_768,,,video,Lifestyle,Wellness,creator_98,4,,,12,72,search,,,,,,,,,,,false,,,,,,,
ad_click,2025-02-08T08:22:00Z,550e8400-e29b-41d4-a716-446655440000,,,,ad_691,carousel,Lifestyle,Travel,creator_77,8,,,,,feed,story,profile,camp_3,imp_691,limited_time_offer,,,,,,,,,,,,,
like_post,2025-02-08T08:22:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,post_944,,,,photo,Movie,Drama,creator_10,10,,,,,search,,,,,,,,,,,,,,,,,,
reel_view,2025-02-08T08:23:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,reel_568,,video,Outdoor,Cycling,creator_20,9,,,10,98,feed,,,,,,,,,,,false,,scrolled_away,,,,,
unlike_post,2025-02-08T08:23:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,post_670,,,,photo,Food,Restaurant,creator_39,3,,2489,,,feed,,,,,,,,,,,,,,,,,,
ad_click,2025-02-08T08:27:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,ad_259,video,Lifestyle,Fashion,creator_75,6,,,,,feed,feed,external_link,camp_7,imp_259,brand_story,,,,,,,,,,,,,
ad_click,2025-02-08T08:27:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,,ad_292,photo,Lifestyle,Wellness,creator_69,8,,,,,feed,explore,profile,camp_3,imp_292,influencer_collab,,,,,,,,,,,,,
profile_view,2025-02-08T08:27:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,,photo,Beauty,Skincare,creator_43,5,219,,,,profile,,,,,,,,,,,,,,,,,,
story_view,2025-02-08T08:27:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,story_410,,,carousel,Lifestyle,Home,creator_93,5,,,3,99,profile,,,,,,,,,,,true,,,,,,,
profile_view,2025-02-08T08:28:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,,video,Lifestyle,Home,creator_2,7,113,,,,profile,,,,,,,,,,,,,,,,,,
profile_view,2025-02-08T08:29:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,,photo,Lifestyle,Travel,creator_31,7,275,,,,feed,,,,,,,,,,,,,,,,,,
story_view,2025-02-08T08:29:00Z,550e8400-e29b-41d4-a716-446655440000,,story_788,,,carousel,Food,Restaurant,creator_53,8,,,11,51,feed,,,,,,,,,,,true,,,,,,,
reel_view,2025-02-08T08:30:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,reel_910,,carousel,Sports,Basketball,creator_53,2,,,8,69,feed,,,,,,,,,,,false,,scrolled_away,,,,,
like_post,2025-02-08T08:31:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,post_591,,,,carousel,Outdoor,Camping,creator_93,6,,,,,feed,,,,,,,,,,,,,,,,,,
story_view,2025-02-08T08:31:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,story_864,,,carousel,Adventure,Surfing,creator_91,3,,,2,52,search,,,,,,,,,,,false,,,,,,,
ad_click,2025-02-08T08:31:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,ad_873,photo,Lifestyle,Wellness,creator_59,7,,,,,explore,feed,profile,camp_4,imp_873,product_demo,,,,,,,,,,,,,
unlike_post,2025-02-08T08:33:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,post_246,,,,photo,Food,Desserts,creator_1,8,,3902,,,feed,,,,,,,,,,,,,,,,,,
profile_view,2025-02-08T08:33:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,,carousel,Beauty,Skincare,creator_64,2,89,,,,search,,,,,,,,,,,,,,,,,,
bookmark_post,2025-02-08T08:35:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,post_735,,,,photo,Lifestyle,Home,creator_89,4,,,,,search,,,,,,,,,,collection_lifestyle,,,,,,,,
story_view,2025-02-08T08:36:00Z,550e8400-e29b-41d4-a716-446655440000,,story_375,,,video,Movie,Action,creator_94,2,,,15,64,feed,,,,,,,,,,,false,,,,,,,
story_view,2025-02-08T08:36:00Z,550e8400-e29b-41d4-a716-446655440000,,story_803,,,video,Beauty,Skincare,creator_15,7,,,12,82,feed,,,,,,,,,,,true,,,,,,,
ad_click,2025-02-08T08:38:00Z,550e8400-e29b-41d4-a716-446655440000,,,,ad_526,photo,Lifestyle,Fashion,creator_90,9,,,,,feed,explore,shop,camp_2,imp_526,product_showcase,,,,,,,,,,,,,
bookmark_post,2025-02-08T08:38:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,post_643,,,,photo,Food,Healthy,creator_64,5,,,,,feed,,,,,,,,,,collection_food,,,,,,,,
ad_click,2025-02-08T08:38:00Z,550e8400-e29b-41d4-a716-446655440000,,,,ad_796,carousel,Beauty,Fragrance,creator_79,3,,,,,explore,explore,profile,camp_3,imp_796,product_showcase,,,,,,,,,,,,,
reel_view,2025-02-08T08:39:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,reel_797,,video,Outdoor,Swimming,creator_43,5,,,20,76,explore,,,,,,,,,,,false,,skipped,,,,,
profile_view,2025-02-08T08:40:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,,,carousel,Outdoor,Cycling,creator_13,3,70,,,,feed,,,,,,,,,,,,,,,,,,
profile_view,2025-02-08T08:41:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,,,carousel,Lifestyle,Wellness,creator_91,2,129,,,,search,,,,,,,,,,,,,,,,,,
like_post,2025-02-08T08:43:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,post_285,,,,photo,Beauty,Fragrance,creator_52,3,,,,,explore,,,,,,,,,,,,,,,,,,
reel_view,2025-02-08T08:43:00Z,550e8400-e29b-41d4-a716-446655440000,,,reel_936,,video,Lifestyle,Travel,creator_65,10,,,14,68,profile,,,,,,,,,,,false,,scrolled_away,,,,,
story_view,2025-02-08T08:44:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,story_350,,,video,Lifestyle,Travel,creator_57,4,,,4,54,search,,,,,,,,,,,true,,,,,,,
reel_view,2025-02-08T08:44:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,reel_440,,carousel,Lifestyle,Wellness,creator_60,4,,,17,33,explore,,,,,,,,,,,false,,scrolled_away,,,,,
reel_view,2025-02-08T08:45:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,reel_699,,carousel,Lifestyle,Travel,creator_51,8,,,9,98,feed,,,,,,,,,,,false,,scrolled_away,,,,,
reel_view,2025-02-08T08:47:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,reel_152,,video,Food,Restaurant,creator_96,5,,,27,51,feed,,,,,,,,,,,false,,scrolled_away,,,,,
ad_click,2025-02-08T08:47:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,,ad_312,carousel,Lifestyle,Wellness,creator_12,4,,,,,search,feed,profile,camp_7,imp_312,limited_time_offer,,,,,,,,,,,,,
bookmark_post,2025-02-08T08:49:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,post_227,,,,video,Outdoor,Cycling,creator_28,9,,,,,feed,,,,,,,,,,collection_outdoor,,,,,,,,
story_view,2025-02-08T08:50:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,story_244,,,video,Adventure,Skydiving,creator_79,9,,,2,76,profile,,,,,,,,,,,true,,,,,,,
bookmark_post,2025-02-08T08:50:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,post_478,,,,carousel,Lifestyle,Wellness,creator_2,10,,,,,feed,,,,,,,,,,collection_lifestyle,,,,,,,,
story_view,2025-02-08T08:50:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,story_955,,,video,Movie,Action,creator_81,7,,,15,72,explore,,,,,,,,,,,true,,,,,,,
ad_click,2025-02-08T08:51:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,,ad_335,carousel,Sports,Basketball,creator_98,8,,,,,explore,explore,profile,camp_4,imp_335,limited_time_offer,,,,,,,,,,,,,
unlike_post,2025-02-08T08:54:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,post_308,,,,photo,Lifestyle,Home,creator_31,2,,684,,,search,,,,,,,,,,,,,,,,,,
like_post,2025-02-08T08:54:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,post_452,,,,carousel,Sports,Basketball,creator_84,6,,,,,search,,,,,,,,,,,,,,,,,,
ad_click,2025-02-08T08:55:00Z,550e8400-e29b-41d4-a716-446655440000,,,,ad_519,photo,Lifestyle,Home,creator_47,9,,,,,profile,explore,external_link,camp_10,imp_519,product_showcase,,,,,,,,,,,,,
bookmark_post,2025-02-08T08:56:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,post_404,,,,photo,Sports,Tennis,creator_29,3,,,,,explore,,,,,,,,,,collection_sports,,,,,,,,
unlike_post,2025-02-08T08:56:00Z,550e8400-e29b-41d4-a716-446655440000,post_594,,,,video,Food,Desserts,creator_17,6,,771,,,explore,,,,,,,,,,,,,,,,,,
profile_view,2025-02-08T08:57:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,,,video,Outdoor,Cycling,creator_50,4,87,,,,feed,,,,,,,,,,,,,,,,,,
profile_view,2025-02-08T08:58:00Z,550e8400-e29b-41d4-a716-446655440000,,,,,video,Food,Healthy,creator_45,7,39,,,,profile,,,,,,,,,,,,,,,,,,
ad_click,2025-02-08T08:58:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,,ad_970,video,Lifestyle,Travel,creator_21,6,,,,,search,explore,profile,camp_2,imp_970,product_demo,,,,,,,,,,,,,
reel_view,2025-02-08T09:00:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,reel_361,,photo,Food,Desserts,creator_87,2,,,17,98,explore,,,,,,,,,,,false,,scrolled_away,,,,,
bookmark_post,2025-02-08T09:02:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,post_625,,,,photo,Sports,Cricket,creator_92,9,,,,,search,,,,,,,,,,collection_sports,,,,,,,,
like_post,2025-02-08T09:07:00Z,550e8400-e29b-41d4-a716-446655440000,post_240,,,,photo,Food,Cooking,creator_28,3,,,,,profile,,,,,,,,,,,,,,,,,,
profile_view,2025-02-08T09:07:00Z,550e8400-e29b-41d4-a716-446655440000,,,,,carousel,Beauty,Skincare,creator_44,3,190,,,,explore,,,,,,,,,,,,,,,,,,
reel_view,2025-02-08T09:08:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,reel_667,,video,Beauty,Skincare,creator_45,6,,,11,78,search,,,,,,,,,,,true,,scrolled_away,,,,,
ad_click,2025-02-08T09:10:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,ad_750,carousel,Beauty,Fragrance,creator_9,3,,,,,feed,feed,external_link,camp_7,imp_750,influencer_collab,,,,,,,,,,,,,
profile_view,2025-02-08T09:12:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,,,carousel,Movie,Drama,creator_84,7,98,,,,feed,,,,,,,,,,,,,,,,,,
unlike_post,2025-02-08T09:12:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,post_737,,,,carousel,Sports,Football,creator_31,9,,5183,,,profile,,,,,,,,,,,,,,,,,,
ad_click,2025-02-08T09:12:00Z,550e8400-e29b-41d4-a716-446655440000,,,,ad_908,photo,Food,Cooking,creator_88,10,,,,,search,story,shop,camp_5,imp_908,limited_time_offer,,,,,,,,,,,,,
reel_view,2025-02-08T09:14:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,reel_165,,carousel,Lifestyle,Travel,creator_35,5,,,6,60,explore,,,,,,,,,,,true,,scrolled_away,,,,,
reel_view,2025-02-08T09:14:00Z,550e8400-e29b-41d4-a716-446655440000,,,reel_455,,video,Food,Healthy,creator_90,5,,,20,41,feed,,,,,,,,,,,true,,watched_full,,,,,
profile_view,2025-02-08T09:15:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,,,carousel,Outdoor,Hiking,creator_80,9,47,,,,search,,,,,,,,,,,,,,,,,,
story_view,2025-02-08T09:15:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,story_928,,,photo,Outdoor,Camping,creator_30,8,,,3,93,explore,,,,,,,,,,,false,,,,,,,
profile_view,2025-02-08T09:16:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,,video,Beauty,Skincare,creator_62,2,62,,,,feed,,,,,,,,,,,,,,,,,,
story_view,2025-02-08T09:16:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,story_339,,,video,Outdoor,Hiking,creator_99,5,,,13,61,explore,,,,,,,,,,,false,,,,,,,
like_post,2025-02-08T09:16:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,post_407,,,,video,Outdoor,Cycling,creator_68,8,,,,,feed,,,,,,,,,,,,,,,,,,
unlike_post,2025-02-08T09:16:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,post_846,,,,photo,Movie,Action,creator_35,4,,4422,,,profile,,,,,,,,,,,,,,,,,,
story_view,2025-02-08T09:17:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,story_364,,,photo,Lifestyle,Fashion,creator_75,7,,,9,81,search,,,,,,,,,,,false,,,,,,,
story_view,2025-02-08T09:18:00Z,550e8400-e29b-41d4-a716-446655440000,,story_889,,,carousel,Lifestyle,Home,creator_50,7,,,11,54,search,,,,,,,,,,,true,,,,,,,
story_view,2025-02-08T09:23:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,story_377,,,photo,Sports,Tennis,creator_34,3,,,2,68,feed,,,,,,,,,,,false,,,,,,,
reel_view,2025-02-08T09:24:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,reel_76,,carousel,Sports,Tennis,creator_8,7,,,30,32,feed,,,,,,,,,,,true,,scrolled_away,,,,,
profile_view,2025-02-08T09:25:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,,,photo,Food,Cooking,creator_47,2,108,,,,feed,,,,,,,,,,,,,,,,,,
ad_click,2025-02-08T09:25:00Z,550e8400-e29b-41d4-a716-446655440000,,,,ad_528,carousel,Beauty,Haircare,creator_37,5,,,,,feed,explore,profile,camp_6,imp_528,product_demo,,,,,,,,,,,,,
like_post,2025-02-08T09:26:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,post_237,,,,carousel,Beauty,Makeup,creator_35,8,,,,,search,,,,,,,,,,,,,,,,,,
like_post,2025-02-08T09:27:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,post_538,,,,photo,Outdoor,Cycling,creator_79,7,,,,,explore,,,,,,,,,,,,,,,,,,
unlike_post,2025-02-08T09:27:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,post_751,,,,photo,Movie,Horror,creator_27,8,,6118,,,feed,,,,,,,,,,,,,,,,,,
bookmark_post,2025-02-08T09:27:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,post_849,,,,photo,Sports,Football,creator_16,4,,,,,explore,,,,,,,,,,collection_sports,,,,,,,,
ad_click,2025-02-08T09:28:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,,ad_771,video,Sports,Cricket,creator_41,9,,,,,profile,story,profile,camp_3,imp_771,limited_time_offer,,,,,,,,,,,,,
reel_view,2025-02-08T09:30:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,reel_923,,video,Lifestyle,Home,creator_32,4,,,26,31,explore,,,,,,,,,,,true,,skipped,,,,,
bookmark_post,2025-02-08T09:31:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,post_38,,,,carousel,Beauty,Skincare,creator_77,7,,,,,feed,,,,,,,,,,collection_beauty,,,,,,,,
like_post,2025-02-08T09:31:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,post_559,,,,carousel,Adventure,Climbing,creator_62,9,,,,,explore,,,,,,,,,,,,,,,,,,
bookmark_post,2025-02-08T09:31:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,post_920,,,,photo,Adventure,Climbing,creator_92,5,,,,,search,,,,,,,,,,collection_adventure,,,,,,,,
reel_view,2025-02-08T09:35:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,reel_17,,photo,Food,Desserts,creator_2,10,,,12,39,profile,,,,,,,,,,,true,,skipped,,,,,
unlike_post,2025-02-08T09:35:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,post_745,,,,carousel,Lifestyle,Fashion,creator_11,3,,4754,,,explore,,,,,,,,,,,,,,,,,,
reel_view,2025-02-08T09:35:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,reel_822,,carousel,Adventure,Trekking,creator_94,6,,,13,79,profile,,,,,,,,,,,true,,skipped,,,,,
profile_view,2025-02-08T09:37:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,,carousel,Lifestyle,Home,creator_10,3,139,,,,search,,,,,,,,,,,,,,,,,,
like_post,2025-02-08T09:37:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,post_587,,,,carousel,Sports,Football,creator_33,4,,,,,profile,,,,,,,,,,,,,,,,,,
profile_view,2025-02-08T09:38:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,,,video,Sports,Tennis,creator_27,2,114,,,,profile,,,,,,,,,,,,,,,,,,
unlike_post,2025-02-08T09:38:00Z,550e8400-e29b-41d4-a716-446655440000,post_891,,,,video,Movie,Comedy,creator_25,6,,4216,,,explore,,,,,,,,,,,,,,,,,,
story_view,2025-02-08T09:39:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,story_213,,,video,Adventure,Skydiving,creator_64,8,,,3,81,profile,,,,,,,,,,,false,,,,,,,
profile_view,2025-02-08T09:39:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,,,video,Food,Desserts,creator_73,3,153,,,,search,,,,,,,,,,,,,,,,,,
reel_view,2025-02-08T09:41:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,reel_442,,photo,Food,Desserts,creator_1,9,,,12,54,profile,,,,,,,,,,,false,,watched_full,,,,,
ad_click,2025-02-08T09:41:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,,ad_738,photo,Adventure,Trekking,creator_86,9,,,,,feed,feed,profile,camp_2,imp_738,product_demo,,,,,,,,,,,,,
like_post,2025-02-08T09:43:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,post_157,,,,video,Adventure,Trekking,creator_61,6,,,,,profile,,,,,,,,,,,,,,,,,,
profile_view,2025-02-08T09:46:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,,,video,Sports,Basketball,creator_28,2,68,,,,search,,,,,,,,,,,,,,,,,,
story_view,2025-02-08T09:46:00Z,550e8400-e29b-41d4-a716-446655440000,,story_807,,,video,Lifestyle,Travel,creator_10,2,,,10,86,feed,,,,,,,,,,,false,,,,,,,
unlike_post,2025-02-08T09:46:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,post_924,,,,video,Outdoor,Camping,creator_9,10,,2185,,,profile,,,,,,,,,,,,,,,,,,
story_view,2025-02-08T09:47:00Z,550e8400-e29b-41d4-a716-446655440000,,story_15,,,carousel,Lifestyle,Home,creator_48,9,,,2,82,explore,,,,,,,,,,,false,,,,,,,
profile_view,2025-02-08T09:47:00Z,550e8400-e29b-41d4-a716-446655440000,,,,,carousel,Beauty,Haircare,creator_97,5,79,,,,profile,,,,,,,,,,,,,,,,,,
ad_click,2025-02-08T09:50:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,ad_39,video,Beauty,Fragrance,creator_46,2,,,,,feed,feed,external_link,camp_8,imp_39,limited_time_offer,,,,,,,,,,,,,
ad_click,2025-02-08T09:50:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,ad_121,photo,Lifestyle,Home,creator_97,9,,,,,explore,story,shop,camp_8,imp_121,limited_time_offer,,,,,,,,,,,,,
