event_type,timestamp,userId,pageType,slug,productId,skuId,quantity,source,category,subcategory,search_term,results_count
pdp_page_view,2025-02-08T08:10:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,pdp,mascara,prod_8806,,,email,Beauty,Makeup,,
add_to_cart,2025-02-08T08:10:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,prod_4847,prod_4847_sku_468,3,website_nav,Wellness,Wellness_Wearables,,
pdp_page_view,2025-02-08T08:13:00Z,550e8400-e29b-41d4-a716-446655440000,pdp,protein-powder,prod_4542,,,social_media,Fitness,Supplements,,
pdp_page_view,2025-02-08T08:15:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,pdp,belts,prod_5926,,,website_nav,Fashion,Accessories,,
search_page_view,2025-02-08T08:17:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,search,,,,,,,,tent,34
search_page_view,2025-02-08T08:17:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,search,,,,,,,,conditioner,45
add_to_cart,2025-02-08T08:18:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_5676,prod_5676_sku_589,2,google_ad,Beauty,Haircare,,
add_to_wishlist,2025-02-08T08:19:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_3086,prod_3086_sku_902,1,facebook_ad,Sports,Footwear,,
pdp_page_view,2025-02-08T08:20:00Z,550e8400-e29b-41d4-a716-446655440000,pdp,mascara,prod_7308,,,website_nav,Beauty,Makeup,,
checkout_initiated_item_level,2025-02-08T08:21:00Z,550e8400-e29b-41d4-a716-446655440000,,,prod_3633,prod_3633_sku_399,1,direct,Fitness,Equipment,,
home_page_view,2025-02-08T08:23:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,home_page,,,,,,,,,
add_to_cart,2025-02-08T08:23:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,prod_9971,prod_9971_sku_156,3,google_ad,Beauty,Makeup,,
pdp_page_view,2025-02-08T08:23:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,pdp,scarves,prod_6087,,,facebook_ad,Fashion,Accessories,,
share_product_click,2025-02-08T08:24:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,prod_4280,prod_4280_sku_544,1,social_media,Beauty,Makeup,,
pdp_page_view,2025-02-08T08:24:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,pdp,smartwatch,prod_9610,,,direct,Fitness,Wearables,,
add_to_cart,2025-02-08T08:24:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_4517,prod_4517_sku_145,1,facebook_ad,Sports,Equipment,,
pdp_page_view,2025-02-08T08:25:00Z,550e8400-e29b-41d4-a716-446655440000,pdp,energy-drinks,prod_5802,,,instagram_ad,Fitness,Supplements,,
remove_from_cart,2025-02-08T08:26:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,prod_3183,prod_3183_sku_893,1,direct,Adventure,Adventure_Equipment,,
checkout_initiated_item_level,2025-02-08T08:27:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_9577,prod_9577_sku_283,1,google_ad,Wellness,Wellness_Equipment,,
pdp_page_view,2025-02-08T08:27:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,pdp,shorts,prod_3948,,,email,Fashion,Casual,,
checkout_complete_item_level,2025-02-08T08:28:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,prod_3515,prod_3515_sku_547,1,website_nav,Fashion,Casual,,
search_page_view,2025-02-08T08:29:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,search,,,,,,,,track-pants,30
add_to_cart,2025-02-08T08:29:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_5931,prod_5931_sku_186,3,email,Sports,Equipment,,
search_page_view,2025-02-08T08:29:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,search,,,,,,,,mascara,49
plp_page_view,2025-02-08T08:30:00Z,550e8400-e29b-41d4-a716-446655440000,plp,treadmill,,,,,Fitness,Equipment,,
checkout_initiated_item_level,2025-02-08T08:31:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_2813,prod_2813_sku_765,2,google_ad,Sports,Apparel,,
pdp_page_view,2025-02-08T08:31:00Z,550e8400-e29b-41d4-a716-446655440000,pdp,deodorant,prod_3606,,,social_media,Beauty,Fragrance,,
plp_page_view,2025-02-08T08:32:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,plp,perfume,,,,,Beauty,Fragrance,,
plp_page_view,2025-02-08T08:35:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,plp,formal-shoes,,,,,Fashion,Formal,,
pdp_page_view,2025-02-08T08:37:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,pdp,trousers,prod_6821,,,google_ad,Fashion,Formal,,
pdp_page_view,2025-02-08T08:37:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,pdp,jeans,prod_3930,,,facebook_ad,Fashion,Casual,,
pdp_page_view,2025-02-08T08:37:00Z,550e8400-e29b-41d4-a716-446655440000,pdp,hair-mask,prod_3510,,,facebook_ad,Beauty,Haircare,,
checkout_initiated_item_level,2025-02-08T08:38:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_8803,prod_8803_sku_822,2,instagram_ad,Adventure,Adventure_Equipment,,
pdp_page_view,2025-02-08T08:38:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,pdp,shirts,prod_2645,,,website_nav,Fashion,Formal,,
search_page_view,2025-02-08T08:39:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,search,,,,,,,,jeans,33
pdp_page_view,2025-02-08T08:42:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,pdp,yoga-pants,prod_9449,,,instagram_ad,Wellness,Wellness_Wearables,,
home_page_view,2025-02-08T08:44:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,home_page,,,,,,,,,
add_to_cart,2025-02-08T08:46:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_7501,prod_7501_sku_619,1,google_ad,Adventure,Adventure_Equipment,,
home_page_view,2025-02-08T08:48:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,home_page,,,,,,,,,
home_page_view,2025-02-08T08:48:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,home_page,,,,,,,,,
pdp_page_view,2025-02-08T08:48:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,pdp,kurtas,prod_1953,,,email,Fashion,Ethnic,,
home_page_view,2025-02-08T08:48:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,home_page,,,,,,,,,
search_page_view,2025-02-08T08:49:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,search,,,,,,,,hair-mask,22
add_to_wishlist,2025-02-08T08:51:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_7264,prod_7264_sku_810,3,instagram_ad,Fashion,Accessories,,
add_to_wishlist,2025-02-08T08:52:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_4205,prod_4205_sku_436,3,google_ad,Fitness,Wearables,,
remove_from_wishlist,2025-02-08T08:52:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_7380,prod_7380_sku_196,1,social_media,Fashion,Accessories,,
pdp_page_view,2025-02-08T08:54:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,pdp,shorts,prod_3278,,,instagram_ad,Fashion,Casual,,
add_to_cart,2025-02-08T08:56:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_2656,prod_2656_sku_402,3,email,Adventure,Adventure_Wearables,,
add_to_cart,2025-02-08T09:00:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_1081,prod_1081_sku_283,1,direct,Fashion,Accessories,,
pdp_page_view,2025-02-08T09:03:00Z,550e8400-e29b-41d4-a716-446655440000,pdp,hair-mask,prod_3525,,,email,Beauty,Haircare,,
add_to_wishlist,2025-02-08T09:05:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_4392,prod_4392_sku_534,3,social_media,Beauty,Haircare,,
add_to_cart,2025-02-08T09:05:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_1679,prod_1679_sku_185,1,instagram_ad,Sports,Footwear,,
pdp_page_view,2025-02-08T09:06:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,pdp,track-pants,prod_7694,,,social_media,Sports,Apparel,,
home_page_view,2025-02-08T09:08:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,home_page,,,,,,,,,
pdp_page_view,2025-02-08T09:08:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,pdp,yoga-pants,prod_9766,,,facebook_ad,Wellness,Wellness_Wearables,,
add_to_cart,2025-02-08T09:08:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,prod_5561,prod_5561_sku_576,2,social_media,Adventure,Adventure_sports,,
plp_page_view,2025-02-08T09:09:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,plp,sports-bra,,,,,Wellness,Wellness_Wearables,,
pdp_page_view,2025-02-08T09:10:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,pdp,scarves,prod_3699,,,website_nav,Fashion,Accessories,,
search_page_view,2025-02-08T09:10:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,search,,,,,,,,weights,44
add_to_cart,2025-02-08T09:11:00Z,550e8400-e29b-41d4-a716-446655440000,,,prod_8858,prod_8858_sku_623,2,facebook_ad,Beauty,Makeup,,
add_to_wishlist,2025-02-08T09:13:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_9239,prod_9239_sku_758,2,direct,Adventure,Adventure_Equipment,,
search_page_view,2025-02-08T09:14:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,search,,,,,,,,skiing-trunks,42
home_page_view,2025-02-08T09:15:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,home_page,,,,,,,,,
home_page_view,2025-02-08T09:15:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,home_page,,,,,,,,,
search_page_view,2025-02-08T09:17:00Z,550e8400-e29b-41d4-a716-446655440000,search,,,,,,,,smartwatch,13
search_page_view,2025-02-08T09:17:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,search,,,,,,,,yoga-mat,32
checkout_complete_item_level,2025-02-08T09:18:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_4462,prod_4462_sku_855,1,instagram_ad,Wellness,Wellness_Wearables,,
pdp_page_view,2025-02-08T09:20:00Z,550e8400-e29b-41d4-a716-446655440000,pdp,hair-oil,prod_4799,,,facebook_ad,Beauty,Haircare,,
plp_page_view,2025-02-08T09:20:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,plp,lehengas,,,,,Fashion,Ethnic,,
pdp_page_view,2025-02-08T09:24:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,pdp,sports-bag,prod_8849,,,instagram_ad,Sports,Accessories,,
plp_page_view,2025-02-08T09:25:00Z,550e8400-e29b-41d4-a716-446655440000,plp,mascara,,,,,Beauty,Makeup,,
plp_page_view,2025-02-08T09:26:00Z,550e8400-e29b-41d4-a716-446655440000,plp,kurtas,,,,,Fashion,Ethnic,,
home_page_view,2025-02-08T09:26:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,home_page,,,,,,,,,
pdp_page_view,2025-02-08T09:28:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,pdp,torch,prod_4769,,,website_nav,Adventure,Adventure_Equipment,,
home_page_view,2025-02-08T09:30:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,home_page,,,,,,,,,
plp_page_view,2025-02-08T09:30:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,plp,parachute,,,,,Adventure,Adventure_sports,,
pdp_page_view,2025-02-08T09:31:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,pdp,heart-rate-monitor,prod_3843,,,website_nav,Fitness,Wearables,,
plp_page_view,2025-02-08T09:31:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,plp,sports-bottle,,,,,Sports,Accessories,,
plp_page_view,2025-02-08T09:32:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,plp,kurtas,,,,,Fashion,Ethnic,,
pdp_page_view,2025-02-08T09:32:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,pdp,lehengas,prod_4703,,,website_nav,Fashion,Ethnic,,
plp_page_view,2025-02-08T09:33:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,plp,stretch-bands,,,,,Wellness,Wellness_Equipment,,
checkout_complete_item_level,2025-02-08T09:34:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_5000,prod_5000_sku_534,3,website_nav,Adventure,Adventure_Wearables,,
remove_from_wishlist,2025-02-08T09:34:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_8847,prod_8847_sku_641,1,website_nav,Adventure,Adventure_sports,,
pdp_page_view,2025-02-08T09:34:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,pdp,yoga-mat,prod_6919,,,email,Wellness,Wellness_Equipment,,
home_page_view,2025-02-08T09:35:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,home_page,,,,,,,,,
plp_page_view,2025-02-08T09:36:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,plp,torch,,,,,Adventure,Adventure_Equipment,,
remove_from_cart,2025-02-08T09:36:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_2080,prod_2080_sku_194,1,website_nav,Sports,Apparel,,
pdp_page_view,2025-02-08T09:38:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,pdp,sports-bra,prod_2172,,,direct,Wellness,Wellness_Wearables,,
search_page_view,2025-02-08T09:39:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,search,,,,,,,,kurtas,48
share_product_click,2025-02-08T09:40:00Z,550e8400-e29b-41d4-a716-446655440000,,,prod_1390,prod_1390_sku_414,2,instagram_ad,Fitness,Wearables,,
pdp_page_view,2025-02-08T09:44:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,pdp,sports-sandals,prod_3314,,,instagram_ad,Sports,Footwear,,
pdp_page_view,2025-02-08T09:45:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,pdp,sports-bottle,prod_1106,,,facebook_ad,Sports,Accessories,,
plp_page_view,2025-02-08T09:45:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,plp,shorts,,,,,Sports,Apparel,,
remove_from_cart,2025-02-08T09:46:00Z,550e8400-e29b-41d4-a716-446655440000,,,prod_3915,prod_3915_sku_632,3,facebook_ad,Fashion,Casual,,
checkout_initiated_item_level,2025-02-08T09:46:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_2044,prod_2044_sku_547,3,google_ad,Sports,Accessories,,
checkout_initiated_item_level,2025-02-08T09:51:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,prod_5318,prod_5318_sku_519,3,email,Adventure,Adventure_Equipment,,
remove_from_wishlist,2025-02-08T09:51:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,prod_6839,prod_6839_sku_788,1,facebook_ad,Fashion,Accessories,,
remove_from_cart,2025-02-08T09:51:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_6696,prod_6696_sku_481,2,website_nav,Sports,Footwear,,
plp_page_view,2025-02-08T09:52:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,plp,conditioner,,,,,Beauty,Haircare,,
pdp_page_view,2025-02-08T09:55:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,pdp,treadmill,prod_6188,,,email,Fitness,Equipment,,
pdp_page_view,2025-02-08T09:55:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,pdp,weights,prod_3068,,,facebook_ad,Fitness,Equipment,,
pdp_page_view,2025-02-08T09:56:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,pdp,shorts,prod_1827,,,email,Fashion,Casual,,
checkout_initiated_item_level,2025-02-08T09:57:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_6078,prod_6078_sku_404,2,instagram_ad,Fashion,Casual,,
add_to_wishlist,2025-02-08T09:57:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_6142,prod_6142_sku_351,3,email,Fashion,Casual,,
add_to_wishlist,2025-02-08T09:59:00Z,550e8400-e29b-41d4-a716-446655440000,,,prod_1176,prod_1176_sku_309,3,instagram_ad,Beauty,Haircare,,
add_to_wishlist,2025-02-08T09:59:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,prod_8001,prod_8001_sku_861,3,email,Adventure,Adventure_Equipment,,
checkout_complete_item_level,2025-02-08T09:59:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_1842,prod_1842_sku_424,3,social_media,Fitness,Wearables,,
search_page_view,2025-02-08T10:00:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,search,,,,,,,,jeans,19
pdp_page_view,2025-02-08T10:00:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,pdp,tent,prod_8556,,,website_nav,Adventure,Adventure_Equipment,,
plp_page_view,2025-02-08T10:00:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,plp,smartwatch,,,,,Fitness,Wearables,,
pdp_page_view,2025-02-08T10:03:00Z,550e8400-e29b-41d4-a716-446655440000,pdp,deodorant,prod_1945,,,facebook_ad,Beauty,Fragrance,,
add_to_cart,2025-02-08T10:03:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_8252,prod_8252_sku_611,1,instagram_ad,Fashion,Formal,,
pdp_page_view,2025-02-08T10:04:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,pdp,shorts,prod_6661,,,email,Fashion,Casual,,
pdp_page_view,2025-02-08T10:04:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,pdp,parachute,prod_7121,,,direct,Adventure,Adventure_sports,,
pdp_page_view,2025-02-08T10:06:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,pdp,scarves,prod_7576,,,instagram_ad,Fashion,Accessories,,
pdp_page_view,2025-02-08T10:10:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,pdp,sports-bra,prod_8293,,,email,Wellness,Wellness_Wearables,,
add_to_wishlist,2025-02-08T10:11:00Z,550e8400-e29b-41d4-a716-446655440000,,,prod_7637,prod_7637_sku_252,2,social_media,Beauty,Haircare,,
plp_page_view,2025-02-08T10:12:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,plp,yoga-mat,,,,,Wellness,Wellness_Equipment,,
plp_page_view,2025-02-08T10:13:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,plp,stretch-bands,,,,,Wellness,Wellness_Equipment,,
plp_page_view,2025-02-08T10:13:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,plp,skiing-trunks,,,,,Adventure,Adventure_sports,,
search_page_view,2025-02-08T10:16:00Z,550e8400-e29b-41d4-a716-446655440000,search,,,,,,,,shampoo,26
pdp_page_view,2025-02-08T10:17:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,pdp,mask,prod_7238,,,facebook_ad,Adventure,Adventure_Wearables,,
add_to_cart,2025-02-08T10:18:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,prod_1271,prod_1271_sku_691,2,website_nav,Beauty,Haircare,,
plp_page_view,2025-02-08T10:19:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,plp,face-wash,,,,,Beauty,Skincare,,
home_page_view,2025-02-08T10:19:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,home_page,,,,,,,,,
pdp_page_view,2025-02-08T10:21:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,pdp,heart-rate-monitor,prod_5403,,,facebook_ad,Fitness,Wearables,,
plp_page_view,2025-02-08T10:21:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,plp,deodorant,,,,,Beauty,Fragrance,,
checkout_complete_item_level,2025-02-08T10:22:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,prod_3002,prod_3002_sku_767,2,social_media,Fashion,Accessories,,
plp_page_view,2025-02-08T10:23:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,plp,sarees,,,,,Fashion,Ethnic,,
add_to_wishlist,2025-02-08T10:24:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,prod_9413,prod_9413_sku_832,1,direct,Fashion,Accessories,,
add_to_wishlist,2025-02-08T10:24:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_5580,prod_5580_sku_839,3,social_media,Adventure,Adventure_Equipment,,
home_page_view,2025-02-08T10:25:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,home_page,,,,,,,,,
add_to_cart,2025-02-08T10:27:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,prod_9783,prod_9783_sku_278,1,direct,Wellness,Wellness_Equipment,,
home_page_view,2025-02-08T10:28:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,home_page,,,,,,,,,
add_to_cart,2025-02-08T10:28:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,prod_1482,prod_1482_sku_762,1,email,Wellness,Wellness_Wearables,,
pdp_page_view,2025-02-08T10:30:00Z,550e8400-e29b-41d4-a716-446655440000,pdp,perfume,prod_3927,,,email,Beauty,Fragrance,,
plp_page_view,2025-02-08T10:30:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,plp,lipstick,,,,,Beauty,Makeup,,
pdp_page_view,2025-02-08T10:31:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,pdp,yoga-mat,prod_6246,,,direct,Wellness,Wellness_Equipment,,
home_page_view,2025-02-08T10:31:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,home_page,,,,,,,,,
search_page_view,2025-02-08T10:31:00Z,550e8400-e29b-41d4-a716-446655440000,search,,,,,,,,eyeliner,5
pdp_page_view,2025-02-08T10:31:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,pdp,jeans,prod_1423,,,email,Fashion,Casual,,
pdp_page_view,2025-02-08T10:32:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,pdp,sports-sandals,prod_7942,,,instagram_ad,Sports,Footwear,,
add_to_wishlist,2025-02-08T10:32:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,,prod_5123,prod_5123_sku_287,3,direct,Beauty,Makeup,,
checkout_complete_item_level,2025-02-08T10:35:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_4933,prod_4933_sku_557,3,website_nav,Beauty,Haircare,,
home_page_view,2025-02-08T10:35:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,home_page,,,,,,,,,
plp_page_view,2025-02-08T10:40:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,plp,eyeliner,,,,,Beauty,Makeup,,
plp_page_view,2025-02-08T10:41:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,plp,stretch-bands,,,,,Wellness,Wellness_Equipment,,
search_page_view,2025-02-08T10:42:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,search,,,,,,,,deodorant,10
pdp_page_view,2025-02-08T10:42:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,pdp,hair-oil,prod_7498,,,website_nav,Beauty,Haircare,,
plp_page_view,2025-02-08T10:43:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,plp,hair-mask,,,,,Beauty,Haircare,,
plp_page_view,2025-02-08T10:45:00Z,550e8400-e29b-41d4-a716-446655440000,plp,perfume,,,,,Beauty,Fragrance,,
pdp_page_view,2025-02-08T10:48:00Z,550e8400-e29b-41d4-a716-446655440000,pdp,moisturizer,prod_4066,,,instagram_ad,Beauty,Skincare,,
search_page_view,2025-02-08T10:49:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,search,,,,,,,,sports-bra,30
pdp_page_view,2025-02-08T10:51:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,pdp,vitamins,prod_4823,,,email,Fitness,Supplements,,
home_page_view,2025-02-08T10:53:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,home_page,,,,,,,,,
add_to_wishlist,2025-02-08T10:53:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_3912,prod_3912_sku_602,2,direct,Fashion,Formal,,
